record_id,source_path,original_text,candidate,confidence,extraction_source,ambiguity,alternatives,requires_review
38032b8b6e32e5f1,ACs/Timberk/Timberk_RG05D4-BGE.ir,RG05D4-BGE,RG05D4-BGE,0.45,inventory.model,True,"[""Timberk_RG05D4-BGE""]",True
61b3fb0f1a37bb98,ACs/Tora/Tora_TS_16-Classic.ir,TS_16-Classic,TS_16-Classic,0.45,inventory.model,True,"[""Tora_TS_16-Classic""]",True
7ea9250e2d3560b2,ACs/Toshiba/Toshiba_AC.ir,AC,,0.0,,False,[],True
6fb885723f76b168,ACs/Toshiba/Toshiba_RAS13SKV2E.ir,RAS13SKV2E,RAS13SKV2E,0.45,inventory.model,True,"[""Toshiba_RAS13SKV2E""]",True
e854167c66f8c9f9,ACs/Toshiba/Toshiba_RASB10BKVG-E.ir,RASB10BKVG-E,RASB10BKVG-E,0.45,inventory.model,True,"[""Toshiba_RASB10BKVG-E""]",True
7b766da26749bacb,ACs/Toshiba/Toshiba_RG57H4.ir,RG57H4,RG57H4,0.45,inventory.model,True,"[""Toshiba_RG57H4""]",True
6a584b9bbc8c1451,ACs/Tosot/Tosot_T24H-ILF.ir,T24H-ILF,T24H-ILF,0.45,inventory.model,True,"[""Tosot_T24H-ILF""]",True
f9ca897e455d605c,ACs/Tropic/Tropic_AC.ir,AC,,0.0,,False,[],True
bf22e61fcb3b771a,ACs/Trotec/Trotec_PAC2600X.ir,PAC2600X,PAC2600X,0.45,inventory.model,True,"[""Trotec_PAC2600X""]",True
815453fc65d026b0,ACs/Vornado/Vornado.ir,Vornado,,0.0,,False,[],True
83d2b91da0402553,ACs/Whynter/Whynter_AC.ir,AC,,0.0,,False,[],True
0fc7c8d9669132ff,ACs/Windfree/Windfree_Ac_test.ir,Ac_test,,0.0,,False,[],True
770297273a869058,ACs/Windfree/Windfree_Actest2.ir,Actest2,Actest2,0.45,inventory.model,True,"[""Windfree_Actest2""]",True
251eb9f8bb6b739b,ACs/Windfree/Windfree_Remote3.ir,Remote3,Windfree_Remote3,0.72,file_name,False,[],True
f87fe1e7a4fb3cb7,ACs/Xiaomi/Xiaomi_AC.ir,AC,,0.0,,False,[],True
cd62f494c0d819f7,ACs/York/York_AC.ir,AC,,0.0,,False,[],True
2b2df2c4074c027c,ACs/York/York_full_working.ir,full_working,,0.0,,False,[],True
2e9403795f5da059,ACs/Zenith/Zenith_AC.ir,AC,,0.0,,False,[],True
150344498599abf5,ACs/Zephir/Zephir_ZPO9001H_AC.ir,ZPO9001H_AC,ZPO9001H_AC,0.45,inventory.model,True,"[""Zephir_ZPO9001H_AC""]",True
6b4515f44ffe1c54,ACs/electriQ/electriQ_P15C-V2.ir,P15C-V2,P15C-V2,0.45,inventory.model,True,"[""electriQ_P15C-V2""]",True
a25f120794eaada5,Air_Purifiers/3M/3M_Air_Purifier.ir,Air_Purifier,3M_Air_Purifier,0.72,file_name,False,[],True
e8b653d81520e793,Air_Purifiers/Blueair/Blueair_T10i_T20i.ir,T10i_T20i,T10i_T20i,0.45,inventory.model,True,"[""Blueair_T10i_T20i""]",True
e13ef2c0d86d4b0b,Air_Purifiers/Dyson/Dyson_HotCool_HP02.ir,HotCool_HP02,HotCool_HP02,0.45,inventory.model,True,"[""Dyson_HotCool_HP02""]",True
a24d1a070adc2699,Air_Purifiers/Dyson/Dyson_HotCool_HP04.ir,HotCool_HP04,HotCool_HP04,0.45,inventory.model,True,"[""Dyson_HotCool_HP04""]",True
