path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason
ACs/Midea/Midea_WWK08CR81N.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""WWK08CR81N"", ""filename"": ""Midea_WWK08CR81N""}",False,predição diverge da regra silver
ACs/Midea/Midea_silent_cool_26_pro.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""silent_cool_26_pro"", ""filename"": ""Midea_silent_cool_26_pro""}",False,predição diverge da regra silver
ACs/Mitsubishi/Mitsubishi_MSH-30RV.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Mitsubishi"", ""category_segment"": ""ACs"", ""commercial_model"": ""MSH-30RV"", ""filename"": ""Mitsubishi_MSH-30RV""}",False,predição diverge da regra silver
ACs/Mitsubishi/Mitsubishi_MSH_GA71VB.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Mitsubishi"", ""category_segment"": ""ACs"", ""commercial_model"": ""MSH_GA71VB"", ""filename"": ""Mitsubishi_MSH_GA71VB""}",False,predição diverge da regra silver
ACs/Mitsubishi/Mitsubishi_SRK20ZJ-S.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Mitsubishi"", ""category_segment"": ""ACs"", ""commercial_model"": ""SRK20ZJ-S"", ""filename"": ""Mitsubishi_SRK20ZJ-S""}",False,predição diverge da regra silver
ACs/Mitsubishi/Mitsubishi_SRK35ZS-W.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Mitsubishi"", ""category_segment"": ""ACs"", ""commercial_model"": ""SRK35ZS-W"", ""filename"": ""Mitsubishi_SRK35ZS-W""}",False,predição diverge da regra silver
ACs/Mitsubishi/mitsubishi-MSY-GE10VA.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Mitsubishi"", ""category_segment"": ""ACs"", ""commercial_model"": ""MSY-GE10VA"", ""filename"": ""mitsubishi-MSY-GE10VA""}",False,predição diverge da regra silver
ACs/OK/Ok_AC_OAC_7020.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""OK"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_OAC_7020"", ""filename"": ""Ok_AC_OAC_7020""}",False,predição diverge da regra silver
ACs/Oreck/Oreck_AIR12GU.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Oreck"", ""category_segment"": ""ACs"", ""commercial_model"": ""AIR12GU"", ""filename"": ""Oreck_AIR12GU""}",False,predição diverge da regra silver
ACs/Osaka/Osaka_CH_09_DSBP.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Osaka"", ""category_segment"": ""ACs"", ""commercial_model"": ""CH_09_DSBP"", ""filename"": ""Osaka_CH_09_DSBP""}",False,predição diverge da regra silver
ACs/Panasonic/Panasonic_A75C4187.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Panasonic"", ""category_segment"": ""ACs"", ""commercial_model"": ""A75C4187"", ""filename"": ""Panasonic_A75C4187""}",False,predição diverge da regra silver
ACs/Panasonic/Panasonic_CS-E9HKR.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Panasonic"", ""category_segment"": ""ACs"", ""commercial_model"": ""CS-E9HKR"", ""filename"": ""Panasonic_CS-E9HKR""}",False,predição diverge da regra silver
ACs/Panasonic/Panasonic_CS-UE12RKE.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Panasonic"", ""category_segment"": ""ACs"", ""commercial_model"": ""CS-UE12RKE"", ""filename"": ""Panasonic_CS-UE12RKE""}",False,predição diverge da regra silver
ACs/Panasonic/Panasonic_CWA75C4179.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Panasonic"", ""category_segment"": ""ACs"", ""commercial_model"": ""CWA75C4179"", ""filename"": ""Panasonic_CWA75C4179""}",False,predição diverge da regra silver
ACs/Panasonic/Panasonic_Climate_A75C2600.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Panasonic"", ""category_segment"": ""ACs"", ""commercial_model"": ""Climate_A75C2600"", ""filename"": ""Panasonic_Climate_A75C2600""}",False,predição diverge da regra silver
ACs/Royal_Clima/Royal_Clima_RC-TWN55HN.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Royal_Clima"", ""category_segment"": ""ACs"", ""commercial_model"": ""RC-TWN55HN"", ""filename"": ""Royal_Clima_RC-TWN55HN""}",False,predição diverge da regra silver
ACs/Samsung/Samsung_AC_AR12K.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Samsung"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_AR12K"", ""filename"": ""Samsung_AC_AR12K""}",False,predição diverge da regra silver
ACs/SereneLife/SereneLife_SLPAC8.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""SereneLife"", ""category_segment"": ""ACs"", ""commercial_model"": ""SLPAC8"", ""filename"": ""SereneLife_SLPAC8""}",False,predição diverge da regra silver
ACs/Sharp/Sharp AH-A9UCD.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Sharp"", ""category_segment"": ""ACs"", ""commercial_model"": ""AH-A9UCD"", ""filename"": ""Sharp AH-A9UCD""}",False,predição diverge da regra silver
ACs/Sharp/Sharp_CVP10MX.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Sharp"", ""category_segment"": ""ACs"", ""commercial_model"": ""CVP10MX"", ""filename"": ""Sharp_CVP10MX""}",False,predição diverge da regra silver
ACs/Sinclair/SINCLAIR_ASH13BIF2.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Sinclair"", ""category_segment"": ""ACs"", ""commercial_model"": ""ASH13BIF2"", ""filename"": ""SINCLAIR_ASH13BIF2""}",False,predição diverge da regra silver
ACs/Subtropic/Subtropic_in-07HN1.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Subtropic"", ""category_segment"": ""ACs"", ""commercial_model"": ""in-07HN1"", ""filename"": ""Subtropic_in-07HN1""}",False,predição diverge da regra silver
ACs/Toshiba/Toshiba_RAS13SKV2E.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Toshiba"", ""category_segment"": ""ACs"", ""commercial_model"": ""RAS13SKV2E"", ""filename"": ""Toshiba_RAS13SKV2E""}",False,predição diverge da regra silver
ACs/Toshiba/Toshiba_RASB10BKVG-E.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Toshiba"", ""category_segment"": ""ACs"", ""commercial_model"": ""RASB10BKVG-E"", ""filename"": ""Toshiba_RASB10BKVG-E""}",False,predição diverge da regra silver
ACs/Toshiba/Toshiba_RG57H4.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Toshiba"", ""category_segment"": ""ACs"", ""commercial_model"": ""RG57H4"", ""filename"": ""Toshiba_RG57H4""}",False,predição diverge da regra silver
ACs/Trotec/Trotec_PAC2600X.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Trotec"", ""category_segment"": ""ACs"", ""commercial_model"": ""PAC2600X"", ""filename"": ""Trotec_PAC2600X""}",False,predição diverge da regra silver
