record_id,path,filename,original_category,original_brand,suggested_model,signal_count,command_names,protocols,addresses,current_classification,current_confidence,current_reasons,possible_problems,selection_reasons
6d220f2e31e6b3a3,ACs/DeLonghi/Pinguino_PAC_EL92_SILENT.ir,Pinguino_PAC_EL92_SILENT.ir,ACs,DeLonghi,Pinguino_PAC_EL92_SILENT,8,"[""POWER"", ""SILENT"", ""MODE"", ""TEMP-"", ""TEMP+"", ""FAN"", ""TIMER"", ""Swing""]","[""NECext""]","[""1F FF 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
c529c035cfa2b451,ACs/Eberg/Eberg_RIO_R29E1.ir,Eberg_RIO_R29E1.ir,ACs,Eberg,RIO_R29E1,10,"[""POWER"", ""COOL"", ""UP"", ""DOWN"", ""HIGH"", ""LOW"", ""DRY"", ""FAN"", ""TIMER"", ""C_F""]","[""NECext""]","[""10 E7 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
286fa68063509e4b,ACs/Ecofort/Ecofort_CoolAir_7+_EQCA7+2900824.ir,Ecofort_CoolAir_7+_EQCA7+2900824.ir,ACs,Ecofort,CoolAir_7+_EQCA7+2900824,11,"[""Power"", ""Up"", ""Down"", ""High"", ""Low"", ""Cool"", ""Dry"", ""Fan"", ""Sleep"", ""C_F"", ""Timer""]","[""NECext""]","[""10 E7 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
c11f811c3d9256a6,ACs/Electra/electra_smart.ir,electra_smart.ir,ACs,Electra,electra_smart,2,"[""On"", ""Off""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
027e30a84ea6f7d7,ACs/Electrolux/Electrol_ESV09CRO_B2I.ir,Electrol_ESV09CRO_B2I.ir,ACs,Electrolux,Electrol_ESV09CRO_B2I,17,"[""POWER_ON"", ""Off"", ""TEMP_16"", ""TEMP_17"", ""TEMP_18"", ""TEMP_19"", ""TEMP_20"", ""TEMP_21"", ""TEMP_22"", ""TEMP_23"", ""TEMP_24"", ""TEMP_25"", ""TEMP_26"", ""TEMP_27"", ""TEMP_28"", ""TEMP_29"", ""TEMP_30""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""muitos nomes compartilham a mesma intenção"", ""nomes de comandos reais não chegaram ao classificador"", ""sequência numerada pode indicar codeset ou bruteforce""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
49ca0bd04a50e296,ACs/Emerson/Emerson_EARC8RE1_ac.ir,Emerson_EARC8RE1_ac.ir,ACs,Emerson,EARC8RE1_ac,11,"[""Power"", ""Cool"", ""Up"", ""Down"", ""Eco"", ""Sleep"", ""Fan Speed"", ""Timer"", ""Display"", ""Auto Mode"", ""Fan Only""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
d5f94e59bbec7bb6,ACs/Emerson/Emerson_Quiet_Kool_AC.ir,Emerson_Quiet_Kool_AC.ir,ACs,Emerson,Quiet_Kool_AC,7,"[""Power"", ""Timer"", ""Fan Speed"", ""Temp+"", ""Temp-"", ""Mode"", ""Vent Angle""]","[""NEC""]","[""81 00 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
590e891d9b23a8e5,ACs/Eurom/Eurom_PAC_9.2.ir,Eurom_PAC_9.2.ir,ACs,Eurom,PAC_9.2,6,"[""Power"", ""Speed"", ""Temp+"", ""Temp-"", ""Mode"", ""Timer""]","[""NEC""]","[""04 00 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
36b02b0ac92203a5,ACs/Eurom/Eurom_Tristar_AC.ir,Eurom_Tristar_AC.ir,ACs,Eurom,Tristar_AC,7,"[""POWER"", ""Speed"", ""TEMP+"", ""TEMP-"", ""Mode"", ""Sleep"", ""Timer""]","[""NEC""]","[""80 00 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
edf5cb6646a06c6c,ACs/Ferroli/Ferroli.ir,Ferroli.ir,ACs,Ferroli,Ferroli,8,"[""On"", ""Mode"", ""Up"", ""Ok"", ""Down"", ""Fan"", ""Swing"", ""Star""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
