original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
Right,763,"[""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/CambridgeAudio/CambridgeAudio_650A.ir"",""Audio_and_Video_Receivers/Denon/Denon_AVR-2113CI_Main.ir"",""Audio_and_Video_Receivers/Denon/Denon_AVR-2113CI_Zone_2.ir"",""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir""]",direction_right,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_right,True
POWER_ON,760,"[""ACs/COTech/COTech_MPPH-08CRN7-QB6_AC.ir"",""ACs/Electrolux/Electrol_ESV09CRO_B2I.ir"",""ACs/LG/LG_LP1419IVSM.ir"",""ACs/Mitsubishi/Mitsubishi_SRK35ZS-W.ir"",""ACs/Panasonic/Panasonic_CWA75C4179.ir""]",power_on,0.99,alias versionado corresponde a power_on,False
Mute,755,"[""Air_Purifiers/3M/3M_Air_Purifier.ir"",""Audio_and_Video_Receivers/ASR/ASR_EMITTER1HD.ir"",""Audio_and_Video_Receivers/Adastra/Adastra_WA215.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",mute,0.99,alias versionado corresponde a mute,False
CD,741,"[""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/CambridgeAudio/CambridgeAudio_650A.ir"",""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir"",""Audio_and_Video_Receivers/Integra/DTR-7.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
POWER_OFF,741,"[""ACs/Sharp/Sharp AH-A9UCD.ir"",""Audio_and_Video_Receivers/Integra/DTR-7.ir"",""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_232.ir"",""_Converted_/CSV/A/Adcom/Receiver/26_232.ir"",""_Converted_/CSV/A/Apple/MP3_Player/1_222.ir""]",power_off,0.99,alias versionado corresponde a power_off,False
RETURN,740,"[""Converters/OSSC/OSSC_Pro.ir"",""DVD_Players/LG/LG_DKS-6100Q.ir"",""DVD_Players/Strato/Strato_DVD507.ir"",""DVD_Players/Toshiba/TOSHIBA_SE_R0420.ir"",""_Converted_/CSV/A/Acesonic/Karaoke/5_122.ir""]",back,0.99,alias versionado corresponde a back,False
REPEAT,737,"[""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Sony/SONY_minidisk-deck.ir"",""CD_Players/Sony/Sony_CFD-S35CP.ir"",""CD_Players/Unknown/Unkown_KC-806.ir"",""DVB-T/Storex/MediaZapperHD.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Vol_up,723,"[""Audio_and_Video_Receivers/ASR/ASR_EMITTER1HD.ir"",""Audio_and_Video_Receivers/Adastra/Adastra_WA215.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir""]",volume_up,0.99,alias versionado corresponde a volume_up,False
GUIDE,715,"[""Cable_Boxes/ARRIS/ARRIS_VIP_2952_V2.ir"",""Projectors/NEC/NEC_RU_M124.ir"",""_Converted_/CSV/A/Adelphia/Cable_Box/0_-1.ir"",""_Converted_/CSV/A/Adelphia/Cable_Box/27_-1.ir"",""_Converted_/CSV/A/Audio_Access/Pre-Amplifier/133_83.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
TV,697,"[""Audio_and_Video_Receivers/Panasonic/Panasonic_N2QAYB001009.ir"",""Audio_and_Video_Receivers/Pioneer/Pioneer_AXD7741.ir"",""Audio_and_Video_Receivers/Pioneer/Pioneer_RC-974R.ir"",""Audio_and_Video_Receivers/Pioneer/Pioneer_XXD3105.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA320U_AV.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
